,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,Label
4243,7.376339999999999,100.0,24.4,40.1,11.6,949,931,936,961,0
4244,7.352589999999997,100.0,24.5,40.2,11.5,931,930,932,960,0
4245,7.410189999999999,100.0,24.5,40.3,11.5,929,933,936,960,0
4246,7.474239999999999,100.0,24.5,40.2,11.6,935,910,973,960,0
4247,7.39279,100.0,24.5,40.1,11.5,951,930,938,960,0
4248,7.37304,100.0,24.5,40.1,11.5,928,930,950,960,0
4249,7.40667,100.0,24.5,40.0,11.7,931,933,936,961,0
4250,7.392819999999999,100.0,24.5,40.1,11.7,923,932,924,961,1
4251,7.37155,100.0,24.5,40.1,11.7,924,933,903,959,0
4252,7.3719,100.0,24.5,40.2,12.0,935,933,934,960,0
4253,7.43174,100.0,24.5,40.2,11.6,933,935,934,960,1
4254,7.4139300000000015,100.0,24.5,40.3,11.6,932,931,921,961,0
4255,7.40865,100.0,24.5,40.3,11.5,906,932,882,961,0
4256,7.4162,100.0,24.5,40.3,11.6,909,913,931,964,0
4257,7.376339999999999,100.0,24.5,40.4,12.0,920,915,914,959,0
4258,7.3677199999999985,100.0,24.6,39.0,11.7,921,966,955,969,0
4259,7.3948,100.0,24.6,38.9,11.6,956,963,944,969,0
4260,7.447089999999997,100.0,24.6,38.9,11.5,953,968,957,971,0
4261,7.36372,100.0,24.6,38.9,11.6,942,966,944,970,0
4262,7.35457,100.0,24.8,39.4,11.9,927,966,956,972,0
4263,7.53067,100.0,24.8,39.5,11.6,953,967,952,969,0
4264,7.41921,100.0,24.8,39.6,24.7,943,948,952,965,0
4265,7.196460000000001,100.0,24.8,39.6,11.5,942,947,955,967,0
4266,7.36051,100.0,24.8,39.7,11.7,944,953,950,966,0
4267,7.5243699999999984,100.0,24.6,39.6,11.6,955,950,968,967,0
4268,7.4225,100.0,24.7,39.7,11.6,940,953,952,969,0
4269,7.41525,100.0,24.7,39.8,11.6,955,952,973,966,0
4270,7.383589999999999,100.0,24.7,39.8,11.6,959,949,954,966,0
4271,7.33988,100.0,24.8,39.9,15.6,944,951,945,965,0
4272,7.419939999999999,100.0,24.8,39.9,11.5,965,957,961,968,0
4273,7.4291,100.0,24.8,39.9,11.5,960,955,954,967,0
4274,7.3967800000000015,100.0,24.8,39.9,11.6,959,959,960,967,0
4275,7.346660000000001,100.0,24.8,39.8,11.6,939,958,934,966,0
4276,7.40393,100.0,24.8,39.7,11.6,945,959,968,968,0
4277,7.40865,100.0,24.8,39.5,11.5,936,954,951,965,0
4278,7.386889999999997,100.0,24.8,39.4,16.1,950,958,936,972,0
4279,7.47253,100.0,24.8,39.4,11.4,944,960,959,969,0
4280,7.42899,100.0,24.8,39.4,11.6,931,952,963,971,0
4281,7.29125,100.0,24.8,39.5,11.5,951,958,942,971,0
4282,7.34072,100.0,24.8,39.7,11.6,937,960,932,974,0
4283,7.43965,100.0,24.8,39.7,11.6,944,960,937,971,0
4284,7.40733,100.0,24.8,39.8,11.6,924,955,925,970,0
4285,7.4482300000000015,100.0,24.8,39.7,24.7,937,962,942,969,0
4286,7.36512,100.0,24.8,39.7,11.8,927,961,893,970,0
4287,7.43965,100.0,24.8,39.7,11.5,931,961,946,968,0
4288,7.38095,100.0,24.8,39.6,11.6,947,958,929,970,0
4289,7.29455,100.0,24.8,39.5,11.7,936,962,936,968,0
4290,7.411289999999997,100.0,24.8,39.4,11.5,928,959,931,973,0
4291,7.386889999999997,100.0,24.8,39.5,11.6,945,960,935,969,0
4292,7.3770000000000024,100.0,24.8,39.6,16.3,933,954,933,971,0
4293,7.4157600000000015,100.0,24.8,39.7,11.6,920,955,922,969,0
4294,7.42514,100.0,24.9,39.7,11.6,943,960,938,971,0
4295,7.48538,100.0,24.9,39.8,11.4,939,961,941,970,0
4296,7.38755,100.0,24.9,39.7,11.6,944,960,937,970,0
4297,7.41367,100.0,24.9,39.7,11.5,940,962,943,971,0
4298,7.429760000000001,100.0,24.9,39.5,11.7,923,962,930,970,0
4299,7.2452,100.0,24.9,39.6,15.7,922,953,916,970,0
4300,7.43174,100.0,24.9,39.6,11.6,923,952,935,972,0
4301,7.48516,100.0,24.9,39.8,11.6,920,954,935,971,0
4302,7.40671,100.0,24.9,39.8,11.4,923,953,928,971,0
4303,7.39216,100.0,24.9,39.9,11.5,933,954,926,970,0
4304,7.401839999999999,100.0,24.9,40.0,11.7,921,958,928,972,0
4305,7.36776,100.0,24.8,39.5,252.5,924,957,933,970,0
4306,7.36512,100.0,24.8,39.5,11.9,946,955,939,969,0
4307,7.44889,100.0,24.8,39.5,11.6,942,953,962,972,0
4308,7.33149,100.0,24.8,39.6,11.5,926,959,941,970,0
4309,7.3796300000000015,100.0,24.9,39.6,11.6,938,954,955,971,0
4310,7.5034800000000015,100.0,24.9,39.7,11.6,957,959,973,969,0
4311,7.39279,100.0,24.9,39.8,11.6,950,958,958,970,0
4312,7.361169999999999,100.0,24.9,39.8,24.1,937,958,958,971,0
4313,7.37172,100.0,24.9,39.8,11.4,945,954,960,971,0
4314,7.488860000000002,100.0,24.9,39.7,11.6,960,958,961,971,0
4315,7.41459,100.0,24.9,39.7,11.5,955,957,965,971,0
4316,7.34405,100.0,25.0,39.6,11.6,933,960,945,969,0
4317,7.40733,100.0,24.9,39.5,11.5,952,959,962,971,0
4318,7.45086,100.0,24.9,38.0,11.6,960,961,971,971,0
4319,7.37502,100.0,24.9,38.0,11.8,943,952,944,961,0
4320,7.2953199999999985,100.0,25.0,37.9,11.6,939,952,956,960,0
4321,7.3670300000000015,100.0,25.0,37.8,11.5,937,951,949,961,0
4322,7.40602,100.0,25.0,37.5,11.5,941,957,950,962,0
4323,7.41785,100.0,25.0,37.4,11.6,951,957,963,963,0
4324,7.4568,100.0,25.0,37.5,11.6,945,957,975,964,0
4325,7.41367,100.0,25.1,37.5,11.6,948,954,954,966,0
4326,7.44987,100.0,25.0,37.5,25.4,945,947,963,953,0
4327,7.40008,100.0,25.0,37.5,11.6,967,950,962,954,0
4328,7.37782,100.0,25.0,37.5,11.6,945,954,957,953,0
4329,7.371060000000001,100.0,25.0,37.4,11.5,950,950,961,954,0
4330,7.377039999999999,100.0,25.0,37.3,11.6,952,953,953,954,0
4331,7.5,100.0,25.1,37.3,11.7,948,953,967,956,0
4332,7.419939999999999,100.0,25.0,37.6,12.0,942,953,950,957,0
4333,7.333469999999997,100.0,25.0,37.7,11.6,933,956,941,956,0
4334,7.33017,100.0,24.9,37.7,11.4,950,955,951,955,0
4335,7.41525,100.0,24.9,37.7,11.6,940,955,952,956,0
